departamento,provincia,distrito,AGRUPACION,TOTAL_VOTOS,POR_EMITIDOS,updated,avance
AMAZONAS,BONGARA,CHURUJA,VOTOS EN BLANCO,1,0.4,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHURUJA,VOTOS NULOS,10,4,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHURUJA,TOTAL DE VOTOS EMITIDOS,250,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,FLORIDA,TOTAL DE VOTOS VÁLIDOS,2968,91.436,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,FLORIDA,VOTOS EN BLANCO,35,1.078,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,FLORIDA,VOTOS NULOS,243,7.486000000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,FLORIDA,TOTAL DE VOTOS EMITIDOS,3246,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,RECTA,TOTAL DE VOTOS VÁLIDOS,185,96.859,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,RECTA,VOTOS EN BLANCO,1,0.524,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,RECTA,VOTOS NULOS,5,2.618,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,RECTA,TOTAL DE VOTOS EMITIDOS,191,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SAN CARLOS,TOTAL DE VOTOS VÁLIDOS,304,92.40100000000001,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SAN CARLOS,VOTOS EN BLANCO,3,0.912,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SAN CARLOS,VOTOS NULOS,22,6.686999999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SAN CARLOS,TOTAL DE VOTOS EMITIDOS,329,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SHIPASBAMBA,TOTAL DE VOTOS VÁLIDOS,873,93.369,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SHIPASBAMBA,VOTOS EN BLANCO,7,0.749,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SHIPASBAMBA,VOTOS NULOS,55,5.882,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,SHIPASBAMBA,TOTAL DE VOTOS EMITIDOS,935,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,VALERA,TOTAL DE VOTOS VÁLIDOS,587,94.52499999999999,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,VALERA,VOTOS EN BLANCO,7,1.127,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,VALERA,VOTOS NULOS,27,4.348,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,VALERA,TOTAL DE VOTOS EMITIDOS,621,100,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,YAMBRASBAMBA,TOTAL DE VOTOS VÁLIDOS,2911,95.1,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,YAMBRASBAMBA,VOTOS EN BLANCO,32,1.045,2021-06-08T00:54:00Z,94.10199999999999
