departamento,provincia,distrito,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
AMAZONAS,BAGUA,IMAZA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8706,90.669,87.339,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BAGUA,IMAZA,00000007,FUERZA POPULAR,896,9.331,8.989,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JUMBILLA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,366,68.284,61.204,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,JUMBILLA,00000007,FUERZA POPULAR,170,31.716,28.427999999999997,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,COROSHA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,380,79.167,76,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,COROSHA,00000007,FUERZA POPULAR,100,20.833000000000002,20,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CUISPES,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,319,76.49900000000001,73.16499999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CUISPES,00000007,FUERZA POPULAR,98,23.501,22.477,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHISQUILLA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,176,62.410999999999994,57.516,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AMAZONAS,BONGARA,CHISQUILLA,00000007,FUERZA POPULAR,106,37.589,34.641,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
