departamento,provincia,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,updated,avance
HUANCAVELICA,HUANCAVELICA,94593,69443,73.412,99.415,100,342,0,340,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANCAVELICA,ACOBAMBA,33207,22858,68.835,99.167,100,120,0,119,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANCAVELICA,ANGARAES,37599,26683,70.96700000000001,100,100,135,0,135,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANCAVELICA,CASTROVIRREYNA,15105,9448,62.549,98.333,100,60,0,59,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANCAVELICA,TAYACAJA,69364,47400,68.335,95.489,95.865,255,11,254,4.135,0,2021-06-08T12:52:00Z,94.78760000000001
HUANCAVELICA,HUAYTARA,17797,10444,58.684,97.26,100,73,0,71,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANCAVELICA,CHURCAMPA,7127,4777,67.027,27.551000000000002,28.571,28,70,27,71.429,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,HUANUCO,228482,168814,73.88499999999999,99.874,100,794,0,793,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,AMBO,43046,30293,70.374,100,100,151,0,151,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,DOS DE MAYO,27974,17604,62.93,99.01,100,101,0,100,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,HUAMALIES,42898,26942,62.805,100,100,152,0,152,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,MARAÑON,19900,13156,66.111,98.70100000000001,100,77,0,76,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,LEONCIO PRADO,100353,71900,71.647,99.70700000000001,100,341,0,340,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,PACHITEA,41193,26723,64.87299999999999,100,100,145,0,145,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,PUERTO INCA,26139,16089,61.552,98.91300000000001,100,92,0,91,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,HUACAYBAMBA,12794,7383,57.707,100,100,46,0,46,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,LAURICOCHA,17578,10790,61.38399999999999,100,100,65,0,65,0,0,2021-06-08T12:52:00Z,94.78760000000001
HUANUCO,YAROWILCA,24572,14506,59.035000000000004,100,100,87,0,87,0,0,2021-06-08T12:52:00Z,94.78760000000001
ICA,ICA,296247,235901,79.63,99.21300000000001,100,1016,0,1008,0,0,2021-06-08T12:52:00Z,94.78760000000001
ICA,CHINCHA,167843,138088,82.27199999999999,98.974,100,585,0,579,0,0,2021-06-08T12:52:00Z,94.78760000000001
ICA,NAZCA,57519,42557,73.988,99.492,100,197,0,196,0,0,2021-06-08T12:52:00Z,94.78760000000001
ICA,PISCO,112383,90694,80.70100000000001,99.215,100,382,0,379,0,0,2021-06-08T12:52:00Z,94.78760000000001
ICA,PALPA,11691,8875,75.91300000000001,97.67399999999999,100,43,0,42,0,0,2021-06-08T12:52:00Z,94.78760000000001
JUNIN,HUANCAYO,427081,332245,77.79400000000001,96.393,97.508,1487,38,1470,2.4919999999999995,0,2021-06-08T12:52:00Z,94.78760000000001
JUNIN,CONCEPCION,46782,33723,72.085,97.633,100,169,0,165,0,0,2021-06-08T12:52:00Z,94.78760000000001
JUNIN,JAUJA,69205,51286,74.107,99.603,100,252,0,251,0,0,2021-06-08T12:52:00Z,94.78760000000001
JUNIN,JUNIN,17765,12506,70.397,100,100,63,0,63,0,0,2021-06-08T12:52:00Z,94.78760000000001
JUNIN,TARMA,72833,54087,74.262,99.209,100,253,0,251,0,0,2021-06-08T12:52:00Z,94.78760000000001
JUNIN,YAULI,29239,20121,68.816,98.131,100,107,0,105,0,0,2021-06-08T12:52:00Z,94.78760000000001
JUNIN,SATIPO,122357,86148,70.40700000000001,94.65499999999999,95.768,430,19,425,4.232,0,2021-06-08T12:52:00Z,94.78760000000001
JUNIN,CHANCHAMAYO,124427,87404,70.245,99.312,100,436,0,433,0,0,2021-06-08T12:52:00Z,94.78760000000001
JUNIN,CHUPACA,47631,36752,77.16,98.83,100,171,0,169,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,TRUJILLO,779066,597491,76.693,98.526,100,2645,0,2606,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,BOLIVAR,10554,5883,55.742000000000004,92.68299999999999,100,41,0,38,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,SANCHEZ CARRION,108586,73069,67.29100000000001,98.67699999999999,100,378,0,373,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,OTUZCO,68514,47600,69.475,99.58,100,238,0,237,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,PACASMAYO,79105,59705,75.476,99.273,100,275,0,273,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,PATAZ,52383,32956,62.913999999999994,98.91900000000001,100,185,0,183,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,SANTIAGO DE CHUCO,38598,26293,68.11999999999999,98.551,100,138,0,136,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,ASCOPE,94654,72868,76.98400000000001,100,100,325,0,325,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,CHEPEN,65402,48905,74.776,98.238,100,227,0,223,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,JULCAN,24479,16366,66.857,98.837,100,86,0,85,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,GRAN CHIMU,21267,14116,66.37499999999999,97.403,100,77,0,75,0,0,2021-06-08T12:52:00Z,94.78760000000001
LA LIBERTAD,VIRU,67527,53126,78.67399999999999,98.312,100,237,0,233,0,0,2021-06-08T12:52:00Z,94.78760000000001
LAMBAYEQUE,CHICLAYO,665144,507928,76.364,99.338,100,2265,0,2250,0,0,2021-06-08T12:52:00Z,94.78760000000001
LAMBAYEQUE,FERREÑAFE,78604,55661,70.812,100,100,274,0,274,0,0,2021-06-08T12:52:00Z,94.78760000000001
