departamento,provincia,C_CODI_AGRUPOL,AGRUPACION,TOTAL_VOTOS,POR_VALIDOS,POR_EMITIDOS,NOMBREe_CANDIDATO,updated,avance
APURIMAC,COTABAMBAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,20072,91.203,84.195,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,COTABAMBAS,00000007,FUERZA POPULAR,1936,8.796999999999999,8.120999999999999,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,GRAU,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,9703,86.804,81.51,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,GRAU,00000007,FUERZA POPULAR,1475,13.196,12.391,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,CHINCHEROS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,19791,83.40400000000001,79.215,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
APURIMAC,CHINCHEROS,00000007,FUERZA POPULAR,3938,16.596,15.762,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,AREQUIPA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,430199,62.989,59.327,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,AREQUIPA,00000007,FUERZA POPULAR,252774,37.010999999999996,34.858999999999995,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,CAYLLOMA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,46879,86.114,82.18599999999999,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,CAYLLOMA,00000007,FUERZA POPULAR,7559,13.886000000000001,13.252,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,CAMANA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,20623,59.227000000000004,55.842999999999996,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,CAMANA,00000007,FUERZA POPULAR,14197,40.773,38.443,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,CARAVELI,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,8422,47.166000000000004,45.021,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,CARAVELI,00000007,FUERZA POPULAR,9434,52.833999999999996,50.43,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,CASTILLA,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,12800,75.874,71.661,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,CASTILLA,00000007,FUERZA POPULAR,4070,24.126,22.785999999999998,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,CONDESUYOS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,5749,81.813,77.282,JOSE PEDRO CASTILLO TERRONES,2021-06-08T00:54:00Z,94.10199999999999
AREQUIPA,CONDESUYOS,00000007,FUERZA POPULAR,1278,18.187,17.18,KEIKO SOFIA FUJIMORI HIGUCHI,2021-06-08T00:54:00Z,94.10199999999999
