departamento,provincia,CCODI_UBIGEO,CONTABILIZA,CONT_NORMAL,IMPUGNADA,ERROR_MAT,MESAS_INSTALADAS,ACTAS_PROCESADAS,SOL_NULIDAD,ILEGIBLE,PENDIENTE,OTRAS_OBS,SIN_DATOS,CONT_ANULADA,POR_PROCESAR,EXTRAVIADA,SINIESTRADA,INCOMPLETA,SIN_FIRMA,A_INSTALAR,MESAS_NO_INST,FUSIONADAS,NTOTAL_AUTO,MESAS_HABILES,TOT_CIUDADANOS_VOTARON,ELECTORES_HABIL,ELECTORES_HABIL_50,TOTAL_JEE,updated,avance
CUSCO,CUSCO,070100,1199,1199,5,1,1207,1207,0,0,0,0,0,0,0,0,0,2,0,1207,0,0,0,1207,280192,354039,177021,8,2021-06-08T01:18:00Z,94.2231
CUSCO,ACOMAYO,070200,69,69,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,69,14343,19229,9617,0,2021-06-08T01:18:00Z,94.2231
CUSCO,ANTA,070300,167,167,1,0,168,168,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,168,37407,48707,24355,1,2021-06-08T01:18:00Z,94.2231
CUSCO,CALCA,070400,185,185,0,0,185,185,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,185,41071,54375,27189,0,2021-06-08T01:18:00Z,94.2231
CUSCO,CANAS,070500,106,106,0,0,106,106,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,106,22962,29976,14990,0,2021-06-08T01:18:00Z,94.2231
CUSCO,CANCHIS,070600,273,273,0,2,275,275,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,275,62484,79853,39929,2,2021-06-08T01:18:00Z,94.2231
CUSCO,CHUMBIVILCAS,070700,197,197,0,0,197,197,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,197,40561,56496,28250,0,2021-06-08T01:18:00Z,94.2231
CUSCO,ESPINAR,070800,160,160,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,160,36021,45665,22834,0,2021-06-08T01:18:00Z,94.2231
CUSCO,LA CONVENCION,070900,311,311,0,0,311,311,0,0,209,0,0,0,211,0,0,0,0,522,0,0,0,522,59526,90692,45349,0,2021-06-08T01:18:00Z,94.2231
CUSCO,PARURO,071000,88,88,0,0,88,88,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,88,17008,24396,12200,0,2021-06-08T01:18:00Z,94.2231
CUSCO,PAUCARTAMBO,071100,121,121,0,0,121,121,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,121,26686,34593,17298,0,2021-06-08T01:18:00Z,94.2231
CUSCO,QUISPICANCHI,071200,241,241,0,1,242,242,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,242,53683,69272,34638,1,2021-06-08T01:18:00Z,94.2231
CUSCO,URUBAMBA,071300,186,186,0,0,186,186,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,186,42892,54574,27289,0,2021-06-08T01:18:00Z,94.2231
HUANCAVELICA,HUANCAVELICA,080100,340,340,2,0,342,342,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,342,69443,94593,47302,2,2021-06-08T01:18:00Z,94.2231
HUANCAVELICA,ACOBAMBA,080200,119,119,1,0,120,120,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,120,22858,33207,16605,1,2021-06-08T01:18:00Z,94.2231
HUANCAVELICA,ANGARAES,080300,135,135,0,0,135,135,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,135,26683,37599,18803,0,2021-06-08T01:18:00Z,94.2231
HUANCAVELICA,CASTROVIRREYNA,080400,59,59,0,0,60,60,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,60,9448,15105,7555,1,2021-06-08T01:18:00Z,94.2231
HUANCAVELICA,TAYACAJA,080500,254,254,1,0,255,255,0,0,11,0,0,0,11,0,0,0,0,266,0,0,0,266,47400,69364,34687,1,2021-06-08T01:18:00Z,94.2231
HUANCAVELICA,HUAYTARA,080600,71,71,1,1,73,73,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,73,10444,17797,8902,2,2021-06-08T01:18:00Z,94.2231
HUANCAVELICA,CHURCAMPA,080700,27,27,0,0,28,28,0,0,70,1,0,0,70,0,0,0,0,98,0,0,0,98,4777,7127,3564,1,2021-06-08T01:18:00Z,94.2231
HUANUCO,HUANUCO,090100,793,790,1,0,794,794,0,0,0,0,0,3,0,0,0,0,0,794,0,0,0,794,168814,228482,114243,1,2021-06-08T01:18:00Z,94.2231
HUANUCO,AMBO,090200,151,151,0,0,151,151,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,151,30293,43046,21527,0,2021-06-08T01:18:00Z,94.2231
HUANUCO,DOS DE MAYO,090300,100,100,1,0,101,101,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,101,17604,27974,13989,1,2021-06-08T01:18:00Z,94.2231
HUANUCO,HUAMALIES,090400,152,152,0,0,152,152,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,152,26942,42898,21452,0,2021-06-08T01:18:00Z,94.2231
HUANUCO,MARAÑON,090500,76,76,1,0,77,77,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,77,13156,19900,9952,1,2021-06-08T01:18:00Z,94.2231
HUANUCO,LEONCIO PRADO,090600,340,340,0,1,341,341,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,341,71900,100353,50179,1,2021-06-08T01:18:00Z,94.2231
HUANUCO,PACHITEA,090700,145,144,0,0,145,145,0,0,0,0,0,1,0,0,0,0,0,145,0,0,0,145,26723,41193,20597,0,2021-06-08T01:18:00Z,94.2231
HUANUCO,PUERTO INCA,090800,91,91,0,0,92,92,0,0,0,0,0,0,0,0,0,1,0,92,0,0,0,92,16089,26139,13070,1,2021-06-08T01:18:00Z,94.2231
HUANUCO,HUACAYBAMBA,090900,46,46,0,0,46,46,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,46,7383,12794,6398,0,2021-06-08T01:18:00Z,94.2231
HUANUCO,LAURICOCHA,091000,65,65,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,65,10790,17578,8791,0,2021-06-08T01:18:00Z,94.2231
HUANUCO,YAROWILCA,091100,87,87,0,0,87,87,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,87,14506,24572,12288,0,2021-06-08T01:18:00Z,94.2231
ICA,ICA,100100,1008,1008,3,2,1016,1016,0,0,0,2,0,0,0,0,0,0,1,1016,0,0,0,1016,235901,296247,148128,8,2021-06-08T01:18:00Z,94.2231
ICA,CHINCHA,100200,579,579,1,1,585,585,0,0,0,2,0,0,0,0,0,1,1,585,0,0,0,585,138088,167843,83924,6,2021-06-08T01:18:00Z,94.2231
ICA,NAZCA,100300,196,196,0,0,197,197,0,0,0,1,0,0,0,0,0,0,0,197,0,0,0,197,42557,57519,28761,1,2021-06-08T01:18:00Z,94.2231
